what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291757072941
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291757164317
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1291757164381
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291757171619
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291757171684
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291757189263
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291757220989
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1291757221058
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291757226386
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291757237324
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291757243209
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291757272340
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291757286570
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291757292889
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291757292956
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291757297680
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291757297755
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1291757381089
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291757385344
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291757407405
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291757671947
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1291757672617
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291757680032
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291757682158
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291757687601
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291757690922
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291757690990
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1291757694333
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291757705333
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291757709754
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291757712993
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1291757713641
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1291757726542
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291757736164
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291757736256
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291757747288
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291757752707
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1291757752815
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1291757761679
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291757796183
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291757811739
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291774399084
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1291774399350
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291774399823
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291774402129
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.1.v201008170101,"org.eclipse.wst.jsdt.debug.core",1291774404114
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291774404714
error,log,,,"GlassFish: >>> /System/Library/Java/JavaVirtualMachines/1.6.0.jdk/Contents/Home/bin/java",1291774408593
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1291774408593
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1291774408648
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1291774408791
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1291774408837
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1291774408845
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1291774408856
error,log,,,"GlassFish: >>> Waiting for the domain to stop ......",1291774415694
error,log,,,"GlassFish: >>> Command stop-domain executed successfully.",1291774415730
stopped,bundle,oracle.eclipse.tools.glassfish,3.1.0.201008201312,"oracle.eclipse.tools.glassfish",1291774415767
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1291774415856
